1- й Староруднянський, пров., укр
4-й Соколовський, пров., укр
4-й Транзитний, пров., укр
4-й Фруктовий, пров., укр
4-й Чуднівський, пров., укр
5-й Березівський, пров., укр
5-й Богунський, проїзд, укр
5-й Вишневий, пров., укр
5-й Далекий, пров., укр
5-й Дачний, пров., укр
5-й Західний, пров., укр
5-й Кривий Брід, пров., укр
5-й Крошенський, пров., укр
5-й Лісовий, пров., укр
5-й Магазинний, пров., укр
5-й Максютова, пров., укр
5-й Панаса Мирного, пров., укр
5-й Польовий, пров., укр
5-й Смолянський, пров., укр
5-й Соколовський, пров., укр
5-й Старокиївський, пров., укр
5-й Транзитний, пров., укр
5-й Фруктовий, пров., укр
6-й Богунський, проїзд, укр
6-й Вишневий, пров., укр
6-й Дачний, пров., укр
6-й Західний, пров., укр
6-й Польовий, пров., укр
6-й Соколовський, пров., укр
6-й Старокиївський, пров., укр
6-й Транзитний, пров., укр
7-й Березівський, пров., укр
7-й Західний, пров., укр
7-й Соколовський, пров., укр
7-й Старокиївський, пров., укр
7-й Транзитний, пров., укр
82 -км, вул., укр
8-й Дачний, пров., укр
8-й Старокиївський, пров., укр
9-й Дачний, пров., укр
Августа Ільїнського, проїзд, укр
Авіаторів, вул., укр
Альбрехта, вул., укр
Андріївська, вул., укр
Андріївський, узвіз, укр
Антоновича, вул., укр
Артельний, пров., укр
Археологічний, проїзд, укр
Аршенєвських, пров., укр
Бальзаківська, вул., укр
Барашівська, вул., укр
Барашівський, пров., укр
Барвистий, пров., укр
Басейна, вул., укр
Бджолиний, пров., укр
Бердичівський, майдан, укр
Бердичівський, проїзд, укр
Береговий, пров., укр
Березівська, вул., укр
Бєльського, проїзд, укр
Білоруська, вул., укр
Бічний, пров., укр
Богдана Хмельницького, вул., укр
Богуна, пров., укр
Богуна, проїзд, укр
Богунська, вул., укр
Болгарська, вул., укр
Бондарна, вул., укр
Бондарний, пров., укр
Бондарний, проїзд, укр
Бориса Тена, вул., укр
БорисаТена, вул., укр
