19 Партсъезда, ул., рус
Георгиевская балка, ул., рус
Героев Бреста, ул., рус
Героев подводников, проезд, рус
Героев Революции 1905 года, ул., рус
Героев Севастополя, ул., рус
Героев Сталинграда, проспект, рус
Герцена, ул., рус
Гидрографическая, ул., рус
Гидронавтов, бульвар, рус
Глухова, ул., рус
Глухой, переулок, рус
Гоголя, ул., рус
Годлевского, ул., рус
Голубца, ул., рус
Гончарная, ул., рус
Горная, ул., рус
Горный, переулок, рус
Городское, шоссе, рус
Горпищенко, ул., рус
Горпищенско тупик, ул., рус
Горького, ул., рус
Госпитальный спуск, ул., рус
Готская, ул., рус
Готский проезд, ул., рус
Гражданская, ул., рус
Гранатная, ул., рус
Гранатная, ул., рус
Грибоедова, ул., рус
Громова, ул., рус
Грошева, ул., рус
Грушевая, ул., рус
Гумилева, ул., рус
Гусева, ул., рус
Дальняя, ул., рус
Дарданельская, ул., рус
Даши Севастопольской, ул., рус
Девятого января, ул., рус
Декабристов, ул., рус
Декоративный бульвар, ул., рус
Делегатская, ул., рус
Демидова, ул., рус
Дерюгиной, ул., рус
Детский, пер., рус
Джанкойская, ул., рус
Дзержинского, ул., рус
Дзигунского, ул., рус
Димитрова, ул., рус
Дмитрия Ульянова, ул., рус
Днепровская, ул., рус
Добролюбова, ул., рус
Донская, ул., рус
Дорическая, ул., рус
Дорожная, ул., рус
Доронина, ул., рус
Достоевского, набережная, рус
Драгунская, ул., рус
Драпушко, ул., рус
Драчука, ул., рус
Древняя, ул., рус
Дроздова, ул., рус
Дубинина, ул., рус
Дубравная, ул., рус
Дунайская, ул., рус
Дундича, ул., рус
Дыбенко, ул., рус
Егерская, ул., рус
Елецкая, ул., рус
Еловая, ул., рус
Ерошенко, ул., рус
Ефремова, ул., рус
Жасминная, ул., рус
Железнодорожная, ул., рус
Железнякова, ул., рус
Жерве, ул., рус
Загордянского, ул., рус
Загородная, ул., рус
Загородная балка, ул., рус
Загорулько, ул., рус
Закамчатская, ул., рус
Западная, ул., рус
Запорожская, ул., рус
Захарова, площадь, рус
Звёздная, ул., рус
Зеленая, ул., рус
Зеленогорская, ул., рус
Земляничная, ул., рус
Ивана Федько, ул., рус
Ивана Франко, ул., рус
Ивана Франко, ул., рус
Иванова, ул., рус
Игнатия Шевченко, ул., рус
