1 Мая, пер., рус
Новаторов, ул., рус
Новая, ул., рус
Новоселовская, ул., рус
Новосодовская, ул., рус
Ново-Содовый, пер., рус
Новый быт, ул., рус
Огородный, пер., рус
Одесская, ул., рус
Октябрьская, ул., рус
Октябрьской рев. ,пл, рус
Октябрьской рев., ул., рус
Олимпийская, ул., рус
Орденоносцев, ул., рус
Орджоникидзе, ул., рус
Осипенко, ул., рус
Оскольская, ул., рус
Оскольский, пер., рус
Островского, ул., рус
Отрадная, ул., рус
Офицерская, ул., рус
Павленко, пер., рус
Павленко, ул., рус
Павлова, ул., рус
Панфилова, ул., рус
Парижской Коммуны, ул., рус
Парковая, ул., рус
Парковый, пер., рус
Паровозников, пер., рус
Паровозников, ул., рус
Пархоменко, ул., рус
Перспективный, пер., рус
Песчаный, пер., рус
Петровского, ул., рус
Плеханова, ул., рус
Победы, ул., рус
Подгорная, ул., рус
Подгорный, пер., рус
Подобьская, ул., рус
Полевой, пер., рус
Полтавская, ул., рус
Полярная, ул., рус
Полярный, пер., рус
Попова, ул., рус
Поповича, ул., рус
Постышева, ул., рус
Правды, ул., рус
Привокзальная ,пл., рус
Привольная, ул., рус
Приозерная, ул., рус
Приозерный, пер., рус
Пролетарская, ул., рус
Пролетарский, пер., рус
Промышленная, ул., рус
Профессиональная, ул., рус
Профинтерна, ул., рус
Пушкина ,бульвар, рус
Пушкинская, ул., рус
Рабочая, ул., рус
Рабочее-крестьянская, ул., рус
Рабочий, пер., рус
Радищева, ул., рус
Радостная, ул., рус
Рапно-набережная, ул., рус
Расковой, ул., рус
Рахмановская, ул., рус
Репина, ул., рус
Республиканская, ул., рус
Республиканский, пер., рус
Речная, ул., рус
Речной, пер., рус
Розы Люксембург, пер., рус
Розы Люксембург, ул., рус
Русская, ул., рус
Рыбалко, ул., рус
Рылеева, ул., рус
Рыночная, ул., рус
Рязанская, ул., рус
Сакко и Ванцетти, ул., рус
Салтыкова-Щедрина, ул., рус
Свердлова, пер., рус
Свердлова, ул., рус
Светлова Михаила, ул., рус
Свободы, пер., рус
Свободы, ул., рус
Связи, ул., рус
Северная, ул., рус
Семейко, ул., рус
Сенная, ул., рус
Серафимовича, пер., рус
Серафимовича, ул., рус
Сергеевская, ул., рус
Серова, ул., рус
Силикатная, ул., рус
Силикатный, пер., рус
Сковороды Григория, ул., рус
Слесарный, пер., рус
Слободская, ул., рус
Смоленская, ул., рус
Смольная, ул., рус
Смольный, пер., рус
Снежная, ул., рус
Советская, ул., рус
Современная, ул., рус
Солдатская, ул., рус
Солодилова, пер., рус
Солодилова, ул., рус
Сользаводская, ул., рус
Союзная, ул., рус
Спартака, пер., рус
Ставропольская, ул., рус
Ставропольский, пер., рус
Станиславского, ул., рус
Суворова, пер., рус
Суворова, ул., рус
Съездовская, ул., рус
Тамбовская, ул., рус
Танкистов, ул., рус
Тельмана, пер., рус
Тимошенко, ул., рус
Тихая, ул., рус
Толбухина, пер., рус
Толбухина, ул., рус
Толстого, ул., рус
Торецкая, ул., рус
Торецкий, пер., рус
Транспортная, ул., рус
Труда, ул., рус
Трунова, ул., рус
Тургенева, пер., рус
Тургенева, ул., рус
Тухачевского, ул., рус
Тюленина, ул., рус
Украинская, ул., рус
Уральская, ул., рус
Урицкого, пер., рус
