8-го Марта, пер., рус
Фурманова, вул., укр
Харченка, вул., укр
Харченко, вул., укр
Хліборобська, вул., укр
Хмельницька, вул., укр
Хмельницького Богдана, вул., укр
Цементна, вул., укр
Ценського, вул., укр
Центральна, вул., укр
Чапаєва, вул., укр
Червоноармійська, вул., укр
Чернишевського, вул., укр
Черняховського, вул., укр
Чехова, вул., укр
Шевченка, вул., укр
Шмідта, вул., укр
Шолохова, вул., укр
Щорса, вул., укр
Якіра, вул., укр
Білпока, пров., укр
Богінського, пров., укр
Будьонного, пров., укр
Бульварний, пров., укр
Веліканова, пров., укр
Вишневий, пров., укр
Гайдара, пров., укр
Гуменецький, пров., укр
Довжоцький, пров., укр
Жванецький, пров., укр
Заводський, пров., укр
Загородний, пров., укр
Зелений, пров., укр
Індустріальний, пров., укр
Кам'янецький, пров., укр
Київський, пров., укр
Ківільші, пров., укр
Колгоспний, пров., укр
Комендантський, пров., укр
Королєнка, пров., укр
Котляревського, пров., укр
Крайній, пров., укр
Круглий, пров., укр
Лагерний, пров., укр
Леваневського, пров., укр
Лисенка, пров., укр
Миколаївський, пров., укр
Михайловський, пров., укр
Мічуріна, пров., укр
Некрасова, пров., укр
Оринінський, пров., укр
Павлова, пров., укр
Папаніна, пров., укр
Північний, пров., укр
Піонерський, пров., укр
Поворіна, пров., укр
Привокзальний, пров., укр
Радгоспний, пров., укр
Свідніцького, пров., укр
Слєпньова, пров., укр
Спортивний, пров., укр
Степовий, пров., укр
Тісний, пров., укр
Травневий, пров., укр
Фабріціуса, пров., укр
Хмельницький, пров., укр
Червоногвардійський, пров., укр
Черняховського, пров., укр
Чубаря, пров., укр
Шевченка, пров., укр
Грушевського, просп., укр
Перемоги, просп., укр
Видровецький, спуск, укр
Підзамецький, спуск, укр
Поштовий, спуск, укр
Старопоштовий, спуск, укр
Зіньковецький, тупік, укр
Пушкінський, узвіз, укр
Голосківське, шосе, укр
Жванецьке, шосе, укр
Нігинське, шосе, укр
Оринінське, шосе, укр
Хмельницьке, шосе, укр

